Date,Count,Top,Bottom,Type
2000-06-30,3,MSFT,CSCO,Rebal
2000-09-30,4,MSFT,ORCL,Rebal
2000-12-31,3,MSFT,INTC,Recon
2001-03-31,5,MSFT,FULO,Rebal
2001-06-30,5,MSFT,OSIS,Rebal
2001-09-30,6,MSFT,QCOM,Rebal
2001-12-31,4,INTC,ORCL,Recon
2002-03-31,6,MSFT,CMCSV,Rebal
2002-06-30,8,MSFT,CMCSV,Rebal
2002-09-30,7,MSFT,CMCSV,Rebal
2002-12-31,5,MSFT,ORCL,Recon
2003-03-31,17,INTC,SBAC,Rebal
2003-06-30,16,INTC,SBAC,Rebal
2003-09-30,16,INTC,SBAC,Rebal
2003-12-31,14,INTC,SBAC,Recon
2004-03-31,15,MSFT,ALGN,Rebal
2004-06-30,14,MSFT,AMAT,Rebal
2004-09-30,16,MSFT,SBAC,Rebal
2004-12-31,11,MSFT,ORCL,Recon
2005-03-31,14,MSFT,GILD,Rebal
2005-06-30,14,MSFT,STN,Rebal
2005-09-30,14,MSFT,STN,Rebal
2005-12-31,12,MSFT,POAI,Recon
2006-03-31,13,QCOM,EA,Rebal
2006-06-30,14,QCOM,BIIB,Rebal
2006-09-30,15,QCOM,PCAR,Rebal
2006-12-31,13,QCOM,STHO,Recon
2007-03-31,13,POAI,STHO,Rebal
2007-06-30,14,POAI,TEVJF,Rebal
2007-09-30,14,POAI,TEVJF,Rebal
2007-12-31,12,MSFT,AMGN,Recon
2008-03-31,12,AAPL,AMGN,Rebal
2008-06-30,12,AAPL,CLNNW,Rebal
2008-09-30,13,AAPL,CLNNW,Rebal
2008-12-31,8,AAPL,AMGN,Recon
2009-03-31,11,AAPL,AMGN,Rebal
2009-06-30,10,AAPL,CMCSV,Rebal
2009-09-30,11,AAPL,GILD,Rebal
2009-12-31,8,AAPL,TEVJF,Recon
2010-03-31,11,AAPL,CMCSA,Rebal
2010-06-30,12,AAPL,AMZN,Rebal
2010-09-30,12,AAPL,AMGN,Rebal
2010-12-31,9,AAPL,CMCSA,Recon
2011-03-31,11,AAPL,CMCSA,Rebal
2011-06-30,11,AAPL,CMCSA,Rebal
2011-09-30,10,AAPL,TEVJF,Rebal
2011-12-31,8,AAPL,SBUX,Recon
2012-03-31,7,AAPL,CSCO,Rebal
2012-06-30,7,AAPL,CSCO,Rebal
2012-09-30,7,AAPL,CSCO,Rebal
2012-12-31,6,AAPL,CSCO,Recon
2013-03-31,7,AAPL,CSCO,Rebal
2013-06-30,7,AAPL,QCOM,Rebal
2013-09-30,7,AAPL,QCOM,Rebal
2013-12-31,5,AAPL,INTC,Recon
2014-03-31,9,AAPL,GILD,Rebal
2014-06-30,9,AAPL,AMGN,Rebal
2014-09-30,9,AAPL,CMCSA,Rebal
2014-12-31,7,AAPL,GILD,Recon
2015-03-31,8,AAPL,AMGN,Rebal
2015-06-30,8,AAPL,QCOM,Rebal
2015-09-30,8,AAPL,QCOM,Rebal
2015-12-31,5,AAPL,GILD,Recon
2016-03-31,10,AAPL,CMCSA,Rebal
2016-06-30,10,AAPL,CMCSA,Rebal
2016-09-30,10,AAPL,CMCSA,Rebal
2016-12-31,9,AAPL,CMCSA,Recon
2017-03-31,7,AAPL,INTC,Rebal
2017-06-30,7,AAPL,CSCO,Rebal
2017-09-30,7,AAPL,CSCO,Rebal
2017-12-31,4,AAPL,GOOG,Recon
2018-03-31,6,AAPL,INTC,Rebal
2018-06-30,6,AAPL,INTC,Rebal
2018-09-30,5,AAPL,GOOGL,Rebal
2018-12-31,4,AAPL,GOOG,Recon
2019-03-31,4,AAPL,GOOG,Rebal
2019-06-30,4,AAPL,GOOG,Rebal
2019-09-30,4,AAPL,GOOG,Rebal
2019-12-31,3,AAPL,AMZN,Recon
2020-03-31,5,MSFT,CSCO,Rebal
2020-06-30,5,MSFT,INTC,Rebal
2020-09-30,4,AAPL,NVDA,Rebal
2020-12-31,3,AAPL,MSFT,Recon
2021-03-31,5,AAPL,TSLA,Rebal
2021-06-30,5,AAPL,TSLA,Rebal
2021-09-30,5,AAPL,TSLA,Rebal
2021-12-31,4,AAPL,NVDA,Recon
2022-03-31,5,AAPL,NVDA,Rebal
2022-06-30,6,AAPL,CMCSA,Rebal
2022-09-30,6,AAPL,PEP,Rebal
2022-12-31,6,AAPL,PEP,Recon
2023-03-31,6,AAPL,PEP,Rebal
2023-06-30,5,AAPL,NVDA,Rebal
2023-09-30,5,AAPL,NVDA,Rebal
2023-12-31,5,AAPL,NVDA,Recon
2024-03-31,8,MSFT,PEP,Rebal
2024-06-30,8,AAPL,PEP,Rebal
2024-09-30,8,AAPL,PEP,Rebal
2024-12-31,6,AAPL,AVGO,Recon
2025-03-31,11,AAPL,GOOG,Rebal
2025-06-30,11,NVDA,GOOG,Rebal
